property_type,listing_agency,price,location_number,city,zip_code,product_depth,bedroom_count,bathroom_count,parking_count
House,Knight Frank (NT) - Darwin,660000,139303919,Farrar,830,premiere,4,2,2
House,Elders Real Estate - Darwin,690000,139301931,Wagaman,810,premiere,4,2,2
House,Elders Real Estate - Palmerston,590000,139301143,Gunn,832,premiere,4,2,2
House,Real Estate Central Projects - Darwin,510000,136402774,Zuccoli,832,premiere,4,2,2
Unit,For Sale By Owner,420000,139300435,Stuart Park,820,standard,2,2,2
Apartment,Professionals - DARWIN CITY,640000,139299807,Darwin City,800,premiere,2,2,2
House,Call2View Real Estate - Palmerston,320000,139298959,Gray,830,premiere,2,1,1
House,Call2View Real Estate - Palmerston,695000,139298955,Alawa,810,premiere,4,2,2
Apartment,Cate Killiner Real Estate - Woolner,275000,139293471,Stuart Park,820,standard,1,1,1
Unit,UpNext Real Estate - DARWIN,285000,139289623,Nightcliff,810,premiere,2,1,1
House,All About Real Estate NT - DARWIN CITY,660000,136645606,Wulagi,812,premiere,3,1,4
Apartment,Real Estate NT by George Pikos - FANNIE BAY,435000,130650546,Stuart Park,820,premiere,2,2,2
House,Smith Real Estate NT,685000,139289359,Bees Creek,822,premiere,4,2,4
House,Call2View Real Estate - Palmerston,950000,139287887,Howard Springs,835,premiere,4,2,7
Apartment,Knight Frank (NT) - Darwin,500000,139287567,Darwin City,800,premiere,1,1,1
House,For Sale By Owner,498000,139286595,Woodroffe,830,standard,3,2,5
House,Real Estate Central Projects - Darwin,740000,139285131,Humpty Doo,836,premiere,6,4,10
Townhouse,Call2View Real Estate - Palmerston,450000,139282191,Rosebery,832,premiere,3,2,2
House,Freedom Property - Australia,700000,139281335,Farrar,830,premiere,4,2,2
Unit,Absolute Real Estate NT - Darwin,305000,139278451,Darwin City,800,premiere,1,1,1
Unit,Absolute Real Estate NT - Darwin,295000,139278075,Darwin City,800,premiere,1,1,1
Unit,Colliers International - Darwin,795000,139277147,Darwin City,800,premiere,3,3,4
Unit,Go Wise - WOOLNER,425000,139276935,Stuart Park,820,premiere,2,1,2
House,Raine & Horne - Darwin,700000,139276923,Bellamack,832,premiere,4,2,4
House,Freedom Property - Australia,485000,139276803,Woodroffe,830,premiere,3,2,4
House,North Property NT - STUART PARK,649000,139274403,Wagaman,810,premiere,3,3,2
House,Acacia Realty - NOONAMAH,665000,139274295,Farrar,830,premiere,4,2,4
House,Property Shop - Darwin,215000,139273615,Millner,810,feature,2,1,1
Unit,LJ Hooker Darwin -   ,339000,139272035,Coconut Grove,810,premiere,2,2,2
Villa,First National Real Estate O'Donoghues - Darwin,399000,139271063,The Gardens,820,premiere,2,1,1
Townhouse,LJ Hooker Darwin -   ,735000,139270331,The Gardens,820,premiere,3,2,3
Unit,Territory Real Estate - Darwin,295000,139269767,Nightcliff,810,premiere,2,1,1
